Accession (version),Accession,Old Family,Family
NC_001927.1,NC_001927,Peribunyaviridae,Peribunyaviridae
NC_031284.1,NC_031284,Nairoviridae,Hantaviridae
NC_031285.1,NC_031285,Nairoviridae,Hantaviridae
NC_031286.1,NC_031286,Nairoviridae,Hantaviridae
NC_021735.1,NC_021735,Benyviridae,Benyviridae
NC_021736.1,NC_021736,Benyviridae,Benyviridae
NC_018283.1,NC_018283,Casjensviridae,Siphoviridae
NC_007497.1,NC_007497,Unclassified,Siphoviridae
NC_005886.2,NC_005886,Unclassified,Myoviridae
NC_009447.1,NC_009447,Unclassified,Siphoviridae
NC_005091.2,NC_005091,Casjensviridae,Siphoviridae
NC_022916.1,NC_022916,Autographiviridae,Podoviridae
NC_015266.1,NC_015266,Peduoviridae,Myoviridae
NC_011216.1,NC_011216,Unclassified,Myoviridae
NC_015273.1,NC_015273,Peduoviridae,Myoviridae
NC_015265.1,NC_015265,Peduoviridae,Myoviridae
NC_013055.1,NC_013055,Unclassified,Siphoviridae
NC_021343.1,NC_021343,Peduoviridae,Myoviridae
NC_005263.2,NC_005263,Unclassified,Myoviridae
NC_005262.3,NC_005262,Unclassified,Podoviridae
NC_005342.2,NC_005342,Unclassified,Myoviridae
NC_004333.2,NC_004333,Unclassified,Myoviridae
NC_005887.1,NC_005887,Unclassified,Podoviridae
NC_009015.1,NC_009015,Unclassified,Myoviridae
NC_012743.2,NC_012743,Unclassified,Podoviridae
NC_019917.1,NC_019917,Unclassified,Podoviridae
NC_005882.1,NC_005882,Unclassified,Myoviridae
NC_009604.1,NC_009604,Unclassified,Myoviridae
NC_018452.1,NC_018452,Unclassified,Podoviridae
NC_018278.1,NC_018278,Unclassified,Siphoviridae
NC_005284.1,NC_005284,Unclassified,Siphoviridae
NC_007145.2,NC_007145,Peduoviridae,Myoviridae
NC_009235.2,NC_009235,Unclassified,Siphoviridae
NC_009236.1,NC_009236,Peduoviridae,Myoviridae
NC_003309.1,NC_003309,Unclassified,Siphoviridae
NC_009234.1,NC_009234,Peduoviridae,Myoviridae
NC_009237.1,NC_009237,Unclassified,Myoviridae
NC_024472.1,NC_024472,Astroviridae,Astroviridae
NC_023813.1,NC_023813,Spinareoviridae,Reoviridae
NC_023814.1,NC_023814,Spinareoviridae,Reoviridae
NC_023815.1,NC_023815,Spinareoviridae,Reoviridae
NC_023816.1,NC_023816,Spinareoviridae,Reoviridae
NC_023817.1,NC_023817,Spinareoviridae,Reoviridae
NC_023818.1,NC_023818,Spinareoviridae,Reoviridae
NC_023819.1,NC_023819,Spinareoviridae,Reoviridae
NC_023820.1,NC_023820,Spinareoviridae,Reoviridae
NC_023821.1,NC_023821,Spinareoviridae,Reoviridae
NC_023822.1,NC_023822,Spinareoviridae,Reoviridae
NC_013527.1,NC_013527,Betaflexiviridae,Betaflexiviridae
NC_023442.1,NC_023442,Baculoviridae,Baculoviridae
NC_034479.1,NC_034479,Peribunyaviridae,Peribunyaviridae
NC_034480.1,NC_034480,Peribunyaviridae,Peribunyaviridae
NC_034490.1,NC_034490,Peribunyaviridae,Peribunyaviridae
NC_003866.1,NC_003866,Geminiviridae,Geminiviridae
NC_003887.1,NC_003887,Geminiviridae,Geminiviridae
NC_033738.1,NC_033738,Caulimoviridae,Caulimoviridae
NC_001574.1,NC_001574,Caulimoviridae,Caulimoviridae
NC_033739.1,NC_033739,Caulimoviridae,Caulimoviridae
NC_026623.1,NC_026623,Flaviviridae,Flaviviridae
NC_011803.1,NC_011803,Virgaviridae,Virgaviridae
NC_002815.2,NC_002815,Alphaflexiviridae,Alphaflexiviridae
NC_021178.1,NC_021178,Picornaviridae,Picornaviridae
NC_014637.1,NC_014637,Mimiviridae,Mimiviridae
NC_018572.1,NC_018572,Potyviridae,Potyviridae
NC_027795.1,NC_027795,Circoviridae,Circoviridae
NC_021926.1,NC_021926,Tombusviridae,Tombusviridae
NC_006875.1,NC_006875,Caliciviridae,Caliciviridae
NC_004108.1,NC_004108,Peribunyaviridae,Peribunyaviridae
NC_004109.1,NC_004109,Peribunyaviridae,Peribunyaviridae
NC_004110.1,NC_004110,Peribunyaviridae,Peribunyaviridae
NC_036607.1,NC_036607,Tospoviridae,Tospoviridae
NC_036608.1,NC_036608,Tospoviridae,Tospoviridae
NC_036609.1,NC_036609,Tospoviridae,Tospoviridae
NC_027784.1,NC_027784,Circoviridae,Circoviridae
NC_027785.1,NC_027785,Circoviridae,Circoviridae
NC_029904.1,NC_029904,Unclassified,Reoviridae
NC_030794.1,NC_030794,Potyviridae,Potyviridae
NC_004367.1,NC_004367,Orthoherpesviridae,Herpesviridae
NC_003391.1,NC_003391,Poxviridae,Poxviridae
NC_015268.1,NC_015268,Papillomaviridae,Papillomaviridae
NC_007985.1,NC_007985,Polydnaviriformidae,Polydnaviridae
NC_007986.1,NC_007986,Polydnaviriformidae,Polydnaviridae
NC_007987.1,NC_007987,Polydnaviriformidae,Polydnaviridae
NC_007988.1,NC_007988,Polydnaviriformidae,Polydnaviridae
NC_007989.1,NC_007989,Polydnaviriformidae,Polydnaviridae
NC_007990.1,NC_007990,Polydnaviriformidae,Polydnaviridae
NC_007991.1,NC_007991,Polydnaviriformidae,Polydnaviridae
NC_007992.1,NC_007992,Polydnaviriformidae,Polydnaviridae
NC_007993.1,NC_007993,Polydnaviriformidae,Polydnaviridae
NC_007994.1,NC_007994,Polydnaviriformidae,Polydnaviridae
NC_007995.1,NC_007995,Polydnaviriformidae,Polydnaviridae
NC_007996.1,NC_007996,Polydnaviriformidae,Polydnaviridae
NC_007998.1,NC_007998,Polydnaviriformidae,Polydnaviridae
NC_007999.1,NC_007999,Polydnaviriformidae,Polydnaviridae
NC_008000.1,NC_008000,Polydnaviriformidae,Polydnaviridae
NC_008001.1,NC_008001,Polydnaviriformidae,Polydnaviridae
NC_008002.1,NC_008002,Polydnaviriformidae,Polydnaviridae
NC_008003.1,NC_008003,Polydnaviriformidae,Polydnaviridae
NC_008004.1,NC_008004,Polydnaviriformidae,Polydnaviridae
NC_008005.1,NC_008005,Polydnaviriformidae,Polydnaviridae
NC_008006.1,NC_008006,Polydnaviriformidae,Polydnaviridae
NC_008007.1,NC_008007,Polydnaviriformidae,Polydnaviridae
NC_008008.1,NC_008008,Polydnaviriformidae,Polydnaviridae
NC_029312.1,NC_029312,Totiviridae,Totiviridae
NC_027212.1,NC_027212,Totiviridae,Totiviridae
NC_031909.1,NC_031909,Unclassified,Myoviridae
NC_019507.1,NC_019507,Unclassified,Myoviridae
NC_027997.1,NC_027997,Unclassified,Myoviridae
NC_018861.1,NC_018861,Unclassified,Myoviridae
NC_027996.1,NC_027996,Unclassified,Myoviridae
NC_016562.1,NC_016562,Unclassified,Myoviridae
NC_015464.1,NC_015464,Unclassified,Myoviridae
NC_003410.1,NC_003410,Circoviridae,Circoviridae
NC_005309.1,NC_005309,Poxviridae,Poxviridae
NC_015373.1,NC_015373,Phenuiviridae,Phenuiviridae
NC_015374.1,NC_015374,Phenuiviridae,Phenuiviridae
NC_015375.1,NC_015375,Phenuiviridae,Phenuiviridae
NC_030117.1,NC_030117,Orthoherpesviridae,Herpesviridae
NC_026814.1,NC_026814,Astroviridae,Astroviridae
NC_004542.1,NC_004542,Caliciviridae,Caliciviridae
NC_020904.1,NC_020904,Circoviridae,Circoviridae
NC_034971.1,NC_034971,Picornaviridae,Picornaviridae
NC_001734.1,NC_001734,Adenoviridae,Adenoviridae
AC_000003.1,AC_000003,Adenoviridae,Adenoviridae
AC_000020.1,AC_000020,Adenoviridae,Adenoviridae
NC_001921.1,NC_001921,Paramyxoviridae,Paramyxoviridae
NC_016075.1,NC_016075,Papillomaviridae,Papillomaviridae
NC_019852.1,NC_019852,Papillomaviridae,Papillomaviridae
NC_026640.1,NC_026640,Papillomaviridae,Papillomaviridae
NC_016074.1,NC_016074,Papillomaviridae,Papillomaviridae
NC_025344.1,NC_025344,Pneumoviridae,Pneumoviridae
NC_034456.1,NC_034456,Polyomaviridae,Polyomaviridae
NC_030462.1,NC_030462,Caulimoviridae,Caulimoviridae
NC_013261.1,NC_013261,Potyviridae,Potyviridae
NC_031130.1,NC_031130,Partitiviridae,Partitiviridae
NC_031134.1,NC_031134,Partitiviridae,Partitiviridae
NC_034515.1,NC_034515,Hantaviridae,Hantaviridae
NC_034525.1,NC_034525,Hantaviridae,Hantaviridae
NC_034528.1,NC_034528,Hantaviridae,Hantaviridae
NC_034474.1,NC_034474,Hantaviridae,Hantaviridae
NC_034484.1,NC_034484,Hantaviridae,Hantaviridae
NC_034485.1,NC_034485,Hantaviridae,Hantaviridae
NC_034482.1,NC_034482,Peribunyaviridae,Peribunyaviridae
NC_034483.1,NC_034483,Peribunyaviridae,Peribunyaviridae
NC_034493.1,NC_034493,Peribunyaviridae,Peribunyaviridae
NC_022007.1,NC_022007,Geminiviridae,Geminiviridae
NC_022008.1,NC_022008,Geminiviridae,Geminiviridae
NC_001463.1,NC_001463,Retroviridae,Retroviridae
NC_023422.1,NC_023422,Picornaviridae,Picornaviridae
NC_008301.1,NC_008301,Tospoviridae,Tospoviridae
NC_008302.1,NC_008302,Tospoviridae,Tospoviridae
NC_008303.1,NC_008303,Tospoviridae,Tospoviridae
NC_034477.1,NC_034477,Peribunyaviridae,Peribunyaviridae
NC_034478.1,NC_034478,Peribunyaviridae,Peribunyaviridae
NC_034489.1,NC_034489,Peribunyaviridae,Peribunyaviridae
NC_001600.1,NC_001600,Tombusviridae,Tombusviridae
NC_020067.1,NC_020067,Polyomaviridae,Polyomaviridae
NC_001479.1,NC_001479,Picornaviridae,Picornaviridae
NC_001366.1,NC_001366,Picornaviridae,Picornaviridae
NC_009448.2,NC_009448,Picornaviridae,Picornaviridae
NC_010810.1,NC_010810,Picornaviridae,Picornaviridae
NC_034513.1,NC_034513,Partitiviridae,Partitiviridae
NC_034523.1,NC_034523,Partitiviridae,Partitiviridae
NC_003498.1,NC_003498,Caulimoviridae,Caulimoviridae
NC_003500.3,NC_003500,Tombusviridae,Tombusviridae
NC_001265.2,NC_001265,Tombusviridae,Tombusviridae
NC_003530.1,NC_003530,Tombusviridae,Tombusviridae
NC_003531.1,NC_003531,Tombusviridae,Tombusviridae
NC_022978.1,NC_022978,Closteroviridae,Closteroviridae
NC_001662.1,NC_001662,Parvoviridae,Parvoviridae
NC_004442.1,NC_004442,Parvoviridae,Parvoviridae
NC_020499.1,NC_020499,Parvoviridae,Parvoviridae
NC_017823.1,NC_017823,Parvoviridae,Parvoviridae
NC_001539.1,NC_001539,Parvoviridae,Parvoviridae
NC_028120.1,NC_028120,Polyomaviridae,Polyomaviridae
NC_002803.1,NC_002803,Rhabdoviridae,Rhabdoviridae
NC_025469.1,NC_025469,Betaflexiviridae,Betaflexiviridae
NC_025468.1,NC_025468,Betaflexiviridae,Betaflexiviridae
NC_001726.1,NC_001726,Tombusviridae,Tombusviridae
NC_011515.1,NC_011515,Tombusviridae,Tombusviridae
NC_006265.1,NC_006265,Solemoviridae,Luteoviridae
NC_025254.1,NC_025254,Potyviridae,Potyviridae
NC_025479.2,NC_025479,Secoviridae,Secoviridae
NC_025480.2,NC_025480,Secoviridae,Secoviridae
NC_013007.1,NC_013007,Closteroviridae,Closteroviridae
NC_012698.2,NC_012698,Potyviridae,Potyviridae
NC_001658.1,NC_001658,Alphaflexiviridae,Alphaflexiviridae
NC_025482.1,NC_025482,Bromoviridae,Bromoviridae
NC_025483.1,NC_025483,Bromoviridae,Bromoviridae
NC_025484.1,NC_025484,Bromoviridae,Bromoviridae
NC_017004.1,NC_017004,Geminiviridae,Geminiviridae
NC_017005.1,NC_017005,Geminiviridae,Geminiviridae
NC_001648.1,NC_001648,Caulimoviridae,Caulimoviridae
NC_034375.1,NC_034375,Alphaflexiviridae,Alphaflexiviridae
NC_006999.2,NC_006999,Bromoviridae,Bromoviridae
NC_007000.2,NC_007000,Bromoviridae,Bromoviridae
NC_007001.1,NC_007001,Bromoviridae,Bromoviridae
NC_027210.1,NC_027210,Potyviridae,Potyviridae
NC_025964.1,NC_025964,Geminiviridae,Geminiviridae
NC_030240.1,NC_030240,Baculoviridae,Baculoviridae
NC_001497.2,NC_001497,Caulimoviridae,Caulimoviridae
NC_019406.1,NC_019406,Unclassified,Siphoviridae
NC_025422.1,NC_025422,Unclassified,Myoviridae
NC_029092.1,NC_029092,Autographiviridae,Podoviridae
NC_019453.1,NC_019453,Steitzviridae,Leviviridae
NC_019410.1,NC_019410,Unclassified,Siphoviridae
NC_019407.1,NC_019407,Unclassified,Siphoviridae
NC_019405.1,NC_019405,Unclassified,Siphoviridae
NC_019408.1,NC_019408,Unclassified,Siphoviridae
NC_019411.1,NC_019411,Unclassified,Siphoviridae
NC_020231.1,NC_020231,Orthoherpesviridae,Herpesviridae
NC_019854.2,NC_019854,Polyomaviridae,Polyomaviridae
NC_025351.1,NC_025351,Paramyxoviridae,Paramyxoviridae
NC_015393.1,NC_015393,Potyviridae,Potyviridae
NC_001564.2,NC_001564,Flaviviridae,Flaviviridae
NC_021802.1,NC_021802,Assiduviridae,Siphoviridae
NC_021797.1,NC_021797,Microviridae,Microviridae
NC_021805.1,NC_021805,Microviridae,Microviridae
NC_021803.1,NC_021803,Pachyviridae,Podoviridae
NC_021806.1,NC_021806,Steigviridae,Podoviridae
NC_021794.1,NC_021794,Pachyviridae,Podoviridae
NC_021799.1,NC_021799,Assiduviridae,Siphoviridae
NC_021789.1,NC_021789,Pachyviridae,Podoviridae
NC_021796.1,NC_021796,Pervagoviridae,Podoviridae
NC_021804.1,NC_021804,Unclassified,Siphoviridae
NC_021800.1,NC_021800,Unclassified,Siphoviridae
NC_021792.1,NC_021792,Pachyviridae,Podoviridae
NC_020860.1,NC_020860,Unclassified,Myoviridae
NC_021791.1,NC_021791,Unclassified,Siphoviridae
NC_021795.1,NC_021795,Unclassified,Siphoviridae
NC_021798.1,NC_021798,Unclassified,Podoviridae
NC_021790.1,NC_021790,Unclassified,Siphoviridae
NC_021788.1,NC_021788,Unclassified,Podoviridae
NC_020842.1,NC_020842,Unclassified,Siphoviridae
NC_031687.1,NC_031687,Dicistroviridae,Dicistroviridae
NC_031688.1,NC_031688,Dicistroviridae,Dicistroviridae
NC_025790.1,NC_025790,Polyomaviridae,Polyomaviridae
NC_016998.1,NC_016998,Geminiviridae,Geminiviridae
NC_031462.1,NC_031462,Endornaviridae,Endornaviridae
NC_031463.1,NC_031463,Endornaviridae,Endornaviridae
NC_031461.1,NC_031461,Endornaviridae,Endornaviridae
NC_031449.1,NC_031449,Endornaviridae,Endornaviridae
NC_031464.1,NC_031464,Endornaviridae,Endornaviridae
NC_010705.1,NC_010705,Partitiviridae,Partitiviridae
NC_010706.1,NC_010706,Partitiviridae,Partitiviridae
NC_010754.1,NC_010754,Partitiviridae,Partitiviridae
NC_010755.1,NC_010755,Partitiviridae,Partitiviridae
NC_006560.1,NC_006560,Orthoherpesviridae,Herpesviridae
NC_002686.2,NC_002686,Orthoherpesviridae,Herpesviridae
NC_027016.1,NC_027016,Orthoherpesviridae,Herpesviridae
NC_012783.2,NC_012783,Orthoherpesviridae,Herpesviridae
NC_025892.1,NC_025892,Polyomaviridae,Polyomaviridae
NC_002198.2,NC_002198,Solemoviridae,Luteoviridae
NC_004751.1,NC_004751,Solemoviridae,Luteoviridae
NC_034834.1,NC_034834,Adenoviridae,Adenoviridae
NC_035619.1,NC_035619,Adenoviridae,Adenoviridae
NC_030151.1,NC_030151,Papillomaviridae,Papillomaviridae
NC_004324.3,NC_004324,Caulimoviridae,Caulimoviridae
NC_005283.1,NC_005283,Paramyxoviridae,Paramyxoviridae
NC_034550.1,NC_034550,Rhabdoviridae,Rhabdoviridae
NC_020065.1,NC_020065,Polyomaviridae,Polyomaviridae
NC_005883.1,NC_005883,Totiviridae,Totiviridae
NC_020805.1,NC_020805,Rhabdoviridae,Rhabdoviridae
NC_022633.1,NC_022633,Sedoreoviridae,Reoviridae
NC_022634.1,NC_022634,Sedoreoviridae,Reoviridae
NC_022635.1,NC_022635,Sedoreoviridae,Reoviridae
NC_022636.1,NC_022636,Sedoreoviridae,Reoviridae
NC_022637.1,NC_022637,Sedoreoviridae,Reoviridae
NC_022638.1,NC_022638,Sedoreoviridae,Reoviridae
NC_022639.1,NC_022639,Sedoreoviridae,Reoviridae
NC_022640.1,NC_022640,Sedoreoviridae,Reoviridae
NC_022641.1,NC_022641,Sedoreoviridae,Reoviridae
NC_022642.1,NC_022642,Sedoreoviridae,Reoviridae
NC_017086.1,NC_017086,Flaviviridae,Flaviviridae
NC_010562.1,NC_010562,Arenaviridae,Arenaviridae
NC_010563.1,NC_010563,Arenaviridae,Arenaviridae
NC_002588.1,NC_002588,Tymoviridae,Tymoviridae
NC_004618.1,NC_004618,Geminiviridae,Geminiviridae
NC_028891.1,NC_028891,Orthoherpesviridae,Herpesviridae
NC_027534.1,NC_027534,Sedoreoviridae,Reoviridae
NC_027535.1,NC_027535,Sedoreoviridae,Reoviridae
NC_027536.1,NC_027536,Sedoreoviridae,Reoviridae
NC_027537.1,NC_027537,Sedoreoviridae,Reoviridae
NC_027538.1,NC_027538,Sedoreoviridae,Reoviridae
NC_027548.1,NC_027548,Sedoreoviridae,Reoviridae
NC_027549.1,NC_027549,Sedoreoviridae,Reoviridae
NC_027550.1,NC_027550,Sedoreoviridae,Reoviridae
NC_027551.1,NC_027551,Sedoreoviridae,Reoviridae
NC_027552.1,NC_027552,Sedoreoviridae,Reoviridae
NC_036389.1,NC_036389,Iflaviridae,Iflaviridae
NC_031800.1,NC_031800,Tombusviridae,Luteoviridae
NC_006440.1,NC_006440,Partitiviridae,Partitiviridae
NC_006441.1,NC_006441,Partitiviridae,Partitiviridae
NC_001946.1,NC_001946,Betaflexiviridae,Betaflexiviridae
NC_015414.1,NC_015414,Secoviridae,Secoviridae
NC_015415.1,NC_015415,Secoviridae,Secoviridae
NC_002500.1,NC_002500,Betaflexiviridae,Betaflexiviridae
NC_002468.1,NC_002468,Betaflexiviridae,Betaflexiviridae
NC_006271.1,NC_006271,Secoviridae,Secoviridae
NC_006272.1,NC_006272,Secoviridae,Secoviridae
NC_020996.1,NC_020996,Betaflexiviridae,Betaflexiviridae
NC_024449.1,NC_024449,Betaflexiviridae,Betaflexiviridae
NC_003689.1,NC_003689,Betaflexiviridae,Betaflexiviridae
NC_001427.1,NC_001427,Anelloviridae,Circoviridae
NC_014930.1,NC_014930,Circoviridae,Circoviridae
NC_003790.1,NC_003790,Astroviridae,Astroviridae
NC_033081.1,NC_033081,Caliciviridae,Caliciviridae
NC_024770.1,NC_024770,Picornaviridae,Picornaviridae
NC_025432.1,NC_025432,Picornaviridae,Picornaviridae
NC_024765.1,NC_024765,Picornaviridae,Picornaviridae
NC_024768.1,NC_024768,Picornaviridae,Picornaviridae
NC_024769.1,NC_024769,Picornaviridae,Picornaviridae
NC_028380.1,NC_028380,Picornaviridae,Picornaviridae
NC_022131.1,NC_022131,Geminiviridae,Geminiviridae
NC_014740.1,NC_014740,Geminiviridae,Geminiviridae
NC_011058.1,NC_011058,Geminiviridae,Geminiviridae
NC_008249.1,NC_008249,Solemoviridae,Luteoviridae
NC_014739.1,NC_014739,Geminiviridae,Geminiviridae
NC_025475.1,NC_025475,Geminiviridae,Geminiviridae
NC_004162.2,NC_004162,Togaviridae,Togaviridae
NC_028046.1,NC_028046,Geminiviridae,Geminiviridae
NC_004628.1,NC_004628,Geminiviridae,Geminiviridae
NC_016044.1,NC_016044,Potyviridae,Potyviridae
NC_005778.1,NC_005778,Potyviridae,Potyviridae
NC_014127.1,NC_014127,Tymoviridae,Tymoviridae
NC_030466.1,NC_030466,Circoviridae,Circoviridae
NC_030472.1,NC_030472,Microviridae,Microviridae
NC_030476.1,NC_030476,Microviridae,Microviridae
NC_030458.1,NC_030458,Microviridae,Microviridae
NC_014743.1,NC_014743,Polyomaviridae,Polyomaviridae
NC_002356.1,NC_002356,Virgaviridae,Virgaviridae
NC_002359.1,NC_002359,Virgaviridae,Virgaviridae
NC_018455.1,NC_018455,Potyviridae,Potyviridae
NC_003830.1,NC_003830,Geminiviridae,Geminiviridae
NC_003831.1,NC_003831,Geminiviridae,Geminiviridae
NC_026812.1,NC_026812,Tobaniviridae,Coronaviridae
NC_008297.1,NC_008297,Papillomaviridae,Papillomaviridae
NC_010226.1,NC_010226,Papillomaviridae,Papillomaviridae
NC_016014.1,NC_016014,Papillomaviridae,Papillomaviridae
NC_014468.1,NC_014468,Parvoviridae,Parvoviridae
NC_016744.1,NC_016744,Parvoviridae,Parvoviridae
NC_007461.1,NC_007461,Microviridae,Microviridae
NC_001741.1,NC_001741,Microviridae,Microviridae
NC_002194.1,NC_002194,Microviridae,Microviridae
NC_002180.1,NC_002180,Microviridae,Microviridae
NC_001998.1,NC_001998,Microviridae,Microviridae
NC_001466.1,NC_001466,Geminiviridae,Geminiviridae
NC_019844.1,NC_019844,Polyomaviridae,Polyomaviridae
NC_025896.1,NC_025896,Polyomaviridae,Polyomaviridae
NC_025898.1,NC_025898,Polyomaviridae,Polyomaviridae
NC_027553.1,NC_027553,Sedoreoviridae,Reoviridae
NC_027554.1,NC_027554,Sedoreoviridae,Reoviridae
NC_027555.1,NC_027555,Sedoreoviridae,Reoviridae
NC_027556.1,NC_027556,Sedoreoviridae,Reoviridae
NC_027557.1,NC_027557,Sedoreoviridae,Reoviridae
NC_027558.1,NC_027558,Sedoreoviridae,Reoviridae
NC_027559.1,NC_027559,Sedoreoviridae,Reoviridae
NC_027560.1,NC_027560,Sedoreoviridae,Reoviridae
NC_027561.1,NC_027561,Sedoreoviridae,Reoviridae
NC_027562.1,NC_027562,Sedoreoviridae,Reoviridae
NC_016443.1,NC_016443,Secoviridae,Secoviridae
NC_016444.1,NC_016444,Secoviridae,Secoviridae
NC_021248.1,NC_021248,Poxviridae,Poxviridae
NC_005137.2,NC_005137,Baculoviridae,Baculoviridae
NC_004778.3,NC_004778,Baculoviridae,Baculoviridae
NC_023177.1,NC_023177,Baculoviridae,Baculoviridae
NC_008168.1,NC_008168,Baculoviridae,Baculoviridae
NC_021924.1,NC_021924,Baculoviridae,Baculoviridae
NC_021249.1,NC_021249,Poxviridae,Poxviridae
NC_027718.1,NC_027718,Tospoviridae,Tospoviridae
NC_027719.1,NC_027719,Tospoviridae,Tospoviridae
NC_027720.1,NC_027720,Tospoviridae,Tospoviridae
NC_009087.2,NC_009087,Betaflexiviridae,Betaflexiviridae
NC_028094.1,NC_028094,Phycodnaviridae,Phycodnaviridae
NC_007151.1,NC_007151,Baculoviridae,Baculoviridae
NC_026268.1,NC_026268,Baculoviridae,Baculoviridae
NC_023420.2,NC_023420,Unclassified,Reoviridae
NC_024910.1,NC_024910,Unclassified,Reoviridae
NC_024911.1,NC_024911,Unclassified,Reoviridae
NC_024912.1,NC_024912,Unclassified,Reoviridae
NC_024913.1,NC_024913,Unclassified,Reoviridae
NC_024914.1,NC_024914,Unclassified,Reoviridae
NC_024915.1,NC_024915,Unclassified,Reoviridae
NC_024916.1,NC_024916,Unclassified,Reoviridae
NC_024917.1,NC_024917,Unclassified,Reoviridae
NC_024918.1,NC_024918,Unclassified,Reoviridae
NC_024919.1,NC_024919,Unclassified,Reoviridae
NC_024920.1,NC_024920,Unclassified,Reoviridae
NC_025705.1,NC_025705,Circoviridae,Circoviridae
NC_025715.1,NC_025715,Circoviridae,Circoviridae
NC_025716.1,NC_025716,Circoviridae,Circoviridae
NC_025717.1,NC_025717,Circoviridae,Circoviridae
NC_025718.1,NC_025718,Circoviridae,Circoviridae
NC_025719.1,NC_025719,Circoviridae,Circoviridae
NC_025720.1,NC_025720,Circoviridae,Circoviridae
NC_025709.1,NC_025709,Circoviridae,Circoviridae
NC_025723.1,NC_025723,Circoviridae,Circoviridae
NC_025706.1,NC_025706,Circoviridae,Circoviridae
NC_025724.1,NC_025724,Circoviridae,Circoviridae
NC_025708.1,NC_025708,Circoviridae,Circoviridae
NC_025711.1,NC_025711,Circoviridae,Circoviridae
NC_025712.1,NC_025712,Circoviridae,Circoviridae
NC_025713.1,NC_025713,Circoviridae,Circoviridae
NC_025714.1,NC_025714,Circoviridae,Circoviridae
NC_025710.1,NC_025710,Circoviridae,Circoviridae
NC_025722.1,NC_025722,Circoviridae,Circoviridae
NC_025216.1,NC_025216,Circoviridae,Circoviridae
NC_030463.1,NC_030463,Circoviridae,Circoviridae
NC_030460.1,NC_030460,Circoviridae,Circoviridae
NC_030464.1,NC_030464,Circoviridae,Circoviridae
NC_030468.1,NC_030468,Circoviridae,Circoviridae
NC_030469.1,NC_030469,Circoviridae,Circoviridae
NC_030465.1,NC_030465,Circoviridae,Circoviridae
NC_030467.1,NC_030467,Circoviridae,Circoviridae
NC_030470.1,NC_030470,Circoviridae,Circoviridae
NC_030473.1,NC_030473,Circoviridae,Circoviridae
NC_030478.1,NC_030478,Circoviridae,Circoviridae
NC_030455.1,NC_030455,Circoviridae,Circoviridae
NC_030457.1,NC_030457,Circoviridae,Circoviridae
NC_030459.1,NC_030459,Circoviridae,Circoviridae
NC_030471.1,NC_030471,Circoviridae,Circoviridae
NC_030474.1,NC_030474,Circoviridae,Circoviridae
NC_030477.1,NC_030477,Circoviridae,Circoviridae
NC_030456.1,NC_030456,Circoviridae,Circoviridae
NC_030475.1,NC_030475,Circoviridae,Circoviridae
NC_034210.1,NC_034210,Circoviridae,Circoviridae
NC_023576.1,NC_023576,Autographiviridae,Podoviridae
NC_023548.1,NC_023548,Autographiviridae,Podoviridae
NC_027988.2,NC_027988,Zobellviridae,Podoviridae
NC_029013.1,NC_029013,Straboviridae,Myoviridae
NC_028755.1,NC_028755,Straboviridae,Myoviridae
NC_028247.1,NC_028247,Unclassified,Myoviridae
NC_025414.1,NC_025414,Straboviridae,Myoviridae
NC_028880.1,NC_028880,Autographiviridae,Podoviridae
NC_031066.1,NC_031066,Autographiviridae,Podoviridae
NC_031092.1,NC_031092,Autographiviridae,Podoviridae
NC_031123.1,NC_031123,Autographiviridae,Podoviridae
NC_031018.1,NC_031018,Autographiviridae,Podoviridae
NC_031057.1,NC_031057,Straboviridae,Myoviridae
NC_028857.1,NC_028857,Straboviridae,Myoviridae
NC_027293.1,NC_027293,Unclassified,Myoviridae
NC_027331.1,NC_027331,Straboviridae,Myoviridae
NC_027350.1,NC_027350,Drexlerviridae,Siphoviridae
NC_018151.1,NC_018151,Geminiviridae,Geminiviridae
NC_035454.1,NC_035454,Phenuiviridae,Phenuiviridae
NC_035759.1,NC_035759,Phenuiviridae,Phenuiviridae
NC_023153.1,NC_023153,Retroviridae,Retroviridae
NC_003877.1,NC_003877,Betaflexiviridae,Betaflexiviridae
NC_003546.1,NC_003546,Bromoviridae,Bromoviridae
NC_003547.1,NC_003547,Bromoviridae,Bromoviridae
NC_003548.1,NC_003548,Bromoviridae,Bromoviridae
NC_006314.1,NC_006314,Aspiviridae,Ophioviridae
NC_006315.1,NC_006315,Aspiviridae,Ophioviridae
NC_006316.1,NC_006316,Aspiviridae,Ophioviridae
NC_006950.1,NC_006950,Tymoviridae,Tymoviridae
NC_001661.1,NC_001661,Closteroviridae,Closteroviridae
NC_009536.1,NC_009536,Bromoviridae,Bromoviridae
NC_009537.1,NC_009537,Bromoviridae,Bromoviridae
NC_009538.1,NC_009538,Bromoviridae,Bromoviridae
NC_021564.1,NC_021564,Solemoviridae,Luteoviridae
NC_003382.1,NC_003382,Caulimoviridae,Caulimoviridae
NC_026592.1,NC_026592,Alphaflexiviridae,Alphaflexiviridae
NC_008293.1,NC_008293,Baculoviridae,Baculoviridae
NC_002657.1,NC_002657,Flaviviridae,Flaviviridae
NC_013698.1,NC_013698,Unclassified,Siphoviridae
NC_023549.1,NC_023549,Unclassified,Siphoviridae
